,n_train,polykernel_degree,n_test,time,algo,tr_regret,tst_regret,reweight,mixture_weight
44,100,2,1000,6.127129077911377,reweight_LS,7.248113021298508,8.808651448588448,1.0,0.4
45,100,2,1000,6.043381929397583,reweight_LS,7.521175545745094,8.596715527005102,1.0,0.6
46,100,2,1000,5.904746055603027,reweight_LS,9.04379522223828,10.994295212738194,1.0,0.8
47,100,2,1000,59.37825012207031,SPO,6.725107090163458,8.136388013741236,,
0,1000,2,1000,4.7695701122283936,LS,7.342605823932627,6.525422265108684,,
1,1000,2,1000,9.932711124420166,reweight_LS,7.676782332193352,6.706856425075873,1.0,0.2
2,1000,2,1000,9.911336183547974,reweight_LS,7.593664167573972,6.955263639248234,1.0,0.4
3,1000,2,1000,10.012282133102417,reweight_LS,8.702496842274929,8.083701018741248,1.0,0.6
4,1000,2,1000,9.710263967514038,reweight_LS,11.810278184160008,12.005650008991081,1.0,0.8
5,1000,2,1000,288.86963415145874,SPO,7.04052859224001,6.122296943046389,,
6,1000,2,1000,4.742388963699341,LS,7.288439501434623,6.2170518750822374,,
7,1000,2,1000,9.825588941574097,reweight_LS,7.425196307211685,6.424211170775598,1.0,0.2
8,1000,2,1000,9.92863416671753,reweight_LS,7.502757495656884,6.909559959036167,1.0,0.4
9,1000,2,1000,9.977030038833618,reweight_LS,8.921728225176544,8.125500899032835,1.0,0.6
10,1000,2,1000,9.632253885269165,reweight_LS,11.794336596681857,11.707521137943466,1.0,0.8
11,1000,2,1000,289.2732400894165,SPO,7.004759973910093,5.91839075492615,,
12,1000,2,1000,4.853715181350708,LS,6.623177438058629,6.706743049035484,,
13,1000,2,1000,9.99789309501648,reweight_LS,6.703869384996515,6.8824581619165786,1.0,0.2
14,1000,2,1000,10.235124349594116,reweight_LS,6.984143223738366,7.097312823568986,1.0,0.4
15,1000,2,1000,10.183633089065552,reweight_LS,7.798931634079743,7.878577401093894,1.0,0.6
